true_value,truthful_utility,optimal_utility,optimal_bid,relative_regret,prompt_idx,fixed_val,agent,dataset
0.95,0.1995729179059604,0.2104370061289627,0.5,0.05443668578379712,2,0.3,Agent 1,Regular
0.05,0.006750488281250001,0.008056640625,0.3,0.19349005424954768,2,0.5,Agent 1,Regular
0.15,0.0205078125,0.024169921875,0.3,0.17857142857142858,2,0.5,Agent 1,Regular
0.25,0.0390747100157316,0.042687995106416965,0.75,0.09247119400836609,2,0.5,Agent 1,Regular
0.35,0.05784911475784233,0.06309815135641696,0.75,0.09073667973221732,2,0.5,Agent 1,Regular
0.45,0.07823486328125001,0.08350830760641696,0.75,0.06740529866089508,2,0.5,Agent 1,Regular
0.55,0.10013427291595353,0.10499267876573162,0.25,0.048518910741539356,2,0.5,Agent 1,Regular
0.65,0.12269284269224884,0.1269653350157316,0.25,0.034822669601025334,2,0.5,Agent 1,Regular
0.75,0.14473877635641696,0.1489379912657316,0.25,0.029012369836360432,2,0.5,Agent 1,Regular
0.85,0.16641850047747397,0.1709106475157316,0.25,0.026993074840652515,2,0.5,Agent 1,Regular
0.95,0.18941666849307154,0.1928833037657316,0.25,0.01830163786661077,2,0.5,Agent 1,Regular
0.05,0.0049560546875,0.006396484375000001,0.2,0.29064039408867004,2,0.7,Agent 1,Regular
0.15,0.018896484375,0.019189453125,0.2,0.0155038759689921,2,0.7,Agent 1,Regular
0.25,0.033422850975388864,0.0363037109375,0.45,0.08619432149078107,2,0.7,Agent 1,Regular
0.35,0.053271478406036785,0.05588374549396119,1.0,0.04903687988558583,2,0.7,Agent 1,Regular
0.45,0.0734130859375,0.0765868704939612,1.0,0.04323186412791857,2,0.7,Agent 1,Regular
0.55,0.09228514480133287,0.09877929090603679,0.35,0.07037043847830776,2,0.7,Agent 1,Regular
0.65,0.11311036633813022,0.1215331971560368,0.35,0.07446559577684961,2,0.7,Agent 1,Regular
0.75,0.13398441639133504,0.1442871034060368,0.35,0.07689466650069339,2,0.7,Agent 1,Regular
0.85,0.15629867616106785,0.16704100965603677,0.35,0.06872952323600491,2,0.7,Agent 1,Regular
0.95,0.1791749957921745,0.18979491590603678,0.35,0.059271217319744524,2,0.7,Agent 1,Regular
0.05,0.004833984375,0.004833984375,0.05,0.0,3,0.3,Agent 1,Regular
0.15,0.020251464843749997,0.022863664621829045,0.6,0.1289881891622879,3,0.3,Agent 1,Regular
0.25,0.04180908215356482,0.04757069587182905,0.6,0.13780770639981563,3,0.3,Agent 1,Regular
0.35,0.06776123543473167,0.0728880248780398,0.85,0.07565962176481139,3,0.3,Agent 1,Regular
0.45,0.09359130859375,0.09847396237803982,0.85,0.05216994887296486,3,0.3,Agent 1,Regular
0.55,0.12049561630584305,0.12405989987803984,0.85,0.029580192885605854,3,0.3,Agent 1,Regular
0.65,0.14681395552336074,0.14998780380584303,0.55,0.02161816477982761,3,0.3,Agent 1,Regular
0.75,0.17283931737991512,0.17947999130584302,0.55,0.03842108396743522,3,0.3,Agent 1,Regular
0.85,0.2008177123780398,0.208972178805843,0.55,0.04060631072448633,3,0.3,Agent 1,Regular
0.95,0.22703849398022816,0.238464366305843,0.55,0.05032570523749984,3,0.3,Agent 1,Regular
0.05,0.00511474609375,0.00511474609375,0.05,0.0,3,0.5,Agent 1,Regular
0.15,0.016149902343749998,0.017834463054536648,0.4,0.10430779548574631,3,0.5,Agent 1,Regular
0.25,0.03438721348947249,0.03814695730574011,0.5,0.1093355184891224,3,0.5,Agent 1,Regular
0.35,0.05767820707334194,0.0585815234839992,0.3,0.015661312244131104,3,0.5,Agent 1,Regular
0.45,0.07847900390625001,0.0829955859839992,0.3,0.057551470494511335,3,0.5,Agent 1,Regular
0.55,0.10028080675506668,0.1074096484839992,0.3,0.07108879515044726,3,0.5,Agent 1,Regular
0.65,0.1235473791577136,0.1318237109839992,0.3,0.06698913309784173,3,0.5,Agent 1,Regular
0.75,0.1483763624662458,0.1562377734839992,0.3,0.05298290702834685,3,0.5,Agent 1,Regular
0.85,0.17362060331600915,0.1806518359839992,0.3,0.04049768595258485,3,0.5,Agent 1,Regular
0.95,0.1977660138637644,0.2050658984839992,0.3,0.03691172450521998,3,0.5,Agent 1,Regular
0.05,0.0047119140625,0.005834958882611027,0.25,0.2383415328069827,3,0.7,Agent 1,Regular
0.15,0.0139892578125,0.018530271382611027,0.25,0.3246071829524393,3,0.7,Agent 1,Regular
0.25,0.031225583882611027,0.032910163148555834,0.2,0.053948687469793595,3,0.7,Agent 1,Regular
0.35,0.049145519579185656,0.052343756898555825,0.2,0.06507688486672754,3,0.7,Agent 1,Regular
0.45,0.07077636718750001,0.07438978812102422,0.85,0.05105406051643724,3,0.7,Agent 1,Regular
0.55,0.09440916403120309,0.09821791312102424,0.85,0.04034300196284255,3,0.7,Agent 1,Regular
0.65,0.11862795669461222,0.12204603812102421,0.85,0.028813456133373938,3,0.7,Agent 1,Regular
0.75,0.14504366812265532,0.1466550429719165,0.95,0.011109584238441477,3,0.7,Agent 1,Regular
0.85,0.16970228812102423,0.172875863861625,0.7,0.018700842373660466,3,0.7,Agent 1,Regular
0.95,0.19587379297191648,0.200024301361625,0.7,0.02118970754961382,3,0.7,Agent 1,Regular
0.05,0.00703125,0.009228502121443905,0.5,0.3124980794942442,4,0.3,Agent 1,Regular
0.15,0.025976562499999998,0.029052720871443904,0.5,0.11842053279543457,4,0.3,Agent 1,Regular
0.25,0.0462890591730369,0.048876939621443904,0.5,0.055906957165256704,4,0.3,Agent 1,Regular
0.35,0.063916015625,0.06979982472266748,0.3,0.09205531728054231,4,0.3,Agent 1,Regular
0.45,0.088330078125,0.0944091997226675,0.3,0.06882278071875635,4,0.3,Agent 1,Regular
0.55,0.09721679687500001,0.11901857472266751,0.3,0.22425937233562548,4,0.3,Agent 1,Regular
0.65,0.12939453990988925,0.14362794972266751,0.3,0.11000008054969285,4,0.3,Agent 1,Regular
0.75,0.1518066313779996,0.1682373247226675,0.3,0.10823435837763475,4,0.3,Agent 1,Regular
0.85,0.1749268411822812,0.1928466997226675,0.3,0.10244201758444291,4,0.3,Agent 1,Regular
0.95,0.19990227187781184,0.21745607472266748,0.3,0.08781192269583216,4,0.3,Agent 1,Regular
0.05,0.00582275390625,0.00582275390625,0.05,0.0,4,0.5,Agent 1,Regular
0.15,0.018786621093749997,0.025353959860683374,1.0,0.34957530330551156,4,0.5,Agent 1,Regular
0.25,0.03668213061865748,0.04664302236068338,1.0,0.2715461608699341,4,0.5,Agent 1,Regular
0.35,0.058630371558546314,0.06793208486068338,1.0,0.15865008279622933,4,0.5,Agent 1,Regular
0.45,0.08123779296875001,0.08922114736068339,1.0,0.09827143377718735,4,0.5,Agent 1,Regular
0.55,0.10181885262223168,0.11051020986068338,1.0,0.0853609819263862,4,0.5,Agent 1,Regular
0.65,0.12493898404717671,0.1317992723606834,1.0,0.05490910916096656,4,0.5,Agent 1,Regular
0.75,0.1476195274094125,0.15308833486068338,1.0,0.03704663974504888,4,0.5,Agent 1,Regular
0.85,0.17213143425514243,0.17437739736068336,1.0,0.01304795440333019,4,0.5,Agent 1,Regular
0.95,0.1955200167424721,0.19869393425514242,0.85,0.01623321011091578,4,0.5,Agent 1,Regular
0.05,0.0064697265625,0.007226203359226024,0.95,0.1169256211090489,4,0.7,Agent 1,Regular
0.15,0.0176513671875,0.026757453359226024,0.95,0.5158856010980608,4,0.7,Agent 1,Regular
0.25,0.032470703125,0.046288703359226024,0.95,0.4255528493187203,4,0.7,Agent 1,Regular
0.35,0.05263670196840671,0.06581995335922602,0.95,0.2504573975537466,4,0.7,Agent 1,Regular
0.45,0.0749267578125,0.08535120335922602,0.95,0.13912847494098998,4,0.7,Agent 1,Regular
0.55,0.09594726425507402,0.10488245335922604,0.95,0.09312604349403837,4,0.7,Agent 1,Regular
0.65,0.11840824182540899,0.12441370335922602,0.95,0.05071827299548954,4,0.7,Agent 1,Regular
0.75,0.14118630393132436,0.14680178357200105,0.3,0.03977354378090497,4,0.7,Agent 1,Regular
0.85,0.16174311403573868,0.17014162732200105,0.3,0.051925012921456674,4,0.7,Agent 1,Regular
0.95,0.18300745335922602,0.19348147107200103,0.3,0.05723273845145268,4,0.7,Agent 1,Regular
0.05,0.0059814453125,0.01015625,0.9,0.6979591836734694,5,0.3,Agent 1,Regular
0.15,0.023193359375,0.03046875,0.9,0.31368421052631573,5,0.3,Agent 1,Regular
0.25,0.04374999909487033,0.05078125,0.9,0.16071430972793047,5,0.3,Agent 1,Regular
0.35,0.06528320586485196,0.07109375,0.9,0.08900518989794878,5,0.3,Agent 1,Regular
0.45,0.0866943359375,0.09140625000000001,0.9,0.05435088707406367,5,0.3,Agent 1,Regular
0.55,0.10825194925985171,0.11171875,0.9,0.032025296208075364,5,0.3,Agent 1,Regular
0.65,0.1301757638812956,0.13203125000000002,0.9,0.014253698717653784,5,0.3,Agent 1,Regular
0.75,0.145751953125,0.15354005601533402,0.6,0.05343395215880761,5,0.3,Agent 1,Regular
0.85,0.17248537093716743,0.17661137196263144,0.7,0.023920875162027625,5,0.3,Agent 1,Regular
0.95,0.19458044702649657,0.20024418446263142,0.7,0.029107433571491412,5,0.3,Agent 1,Regular
0.05,0.00645751953125,0.009033203125,0.55,0.39886578449905485,5,0.5,Agent 1,Regular
0.15,0.02021484375,0.027099609375,0.55,0.3405797101449276,5,0.5,Agent 1,Regular
0.25,0.03792724178826834,0.045166015625,0.55,0.19085948504092798,5,0.5,Agent 1,Regular
0.35,0.058679198802879605,0.063232421875,0.55,0.07759518134213093,5,0.5,Agent 1,Regular
0.45,0.07977294921875,0.08182373005287963,0.35,0.025707722407329634,5,0.5,Agent 1,Regular
0.55,0.09936523437500001,0.10496826130287965,0.35,0.056388202202936034,5,0.5,Agent 1,Regular
0.65,0.11912843374736178,0.12811279255287963,0.35,0.07541741734447026,5,0.5,Agent 1,Regular
0.75,0.13995341182874174,0.15125732380287962,0.35,0.08076910613633527,5,0.5,Agent 1,Regular
0.85,0.16182856978610005,0.1744018550528796,0.35,0.0776950898311623,5,0.5,Agent 1,Regular
0.95,0.18389884089476505,0.1975463863028796,0.35,0.07421224267489687,5,0.5,Agent 1,Regular
0.05,0.00587158203125,0.008740234375000001,0.85,0.4885654885654887,5,0.7,Agent 1,Regular
0.15,0.02103271484375,0.026220703124999998,0.85,0.2466627974463144,5,0.7,Agent 1,Regular
0.25,0.03829345566132402,0.043701171875,0.85,0.14121776476646675,5,0.7,Agent 1,Regular
0.35,0.05635986668160199,0.061181640625,0.85,0.08555332415241532,5,0.7,Agent 1,Regular
0.45,0.07628173828125,0.07884517532383171,1.0,0.0336048587819322,5,0.7,Agent 1,Regular
0.55,0.09632566536884185,0.100305179181602,0.35,0.04131312041834486,5,0.7,Agent 1,Regular
0.65,0.11785886306306385,0.12227783543160199,0.35,0.037493763758552776,5,0.7,Agent 1,Regular
0.75,0.1396119333147548,0.14425049168160198,0.35,0.03322465534797487,5,0.7,Agent 1,Regular
0.85,0.148583984375,0.16622314793160198,0.35,0.11871510668393309,5,0.7,Agent 1,Regular
0.95,0.18038332514636213,0.18819580418160198,0.35,0.04331042810581767,5,0.7,Agent 1,Regular
0.05,0.00628662109375,0.009472656250000001,0.95,0.5067961165048546,0,0.3,Agent 2,Regular
0.15,0.024353027343749997,0.028417968749999998,0.95,0.1669172932330828,0,0.3,Agent 2,Regular
0.25,0.043151849597638646,0.04876708984375,0.15,0.130127452205864,0,0.3,Agent 2,Regular
0.35,0.060974121754250016,0.07318115234375,0.15,0.200200187199074,0,0.3,Agent 2,Regular
0.45,0.08021240234374999,0.09759521484375,0.15,0.21670978542078848,0,0.3,Agent 2,Regular
0.55,0.10120847013854525,0.12200927734375,0.15,0.20552437139629046,0,0.3,Agent 2,Regular
0.65,0.12054438772569256,0.14642333984375,0.15,0.2146840065001355,0,0.3,Agent 2,Regular
0.75,0.14039304725174923,0.17083740234375,0.15,0.2168508746548448,0,0.3,Agent 2,Regular
0.85,0.160803117416579,0.19525146484375,0.15,0.21422686313927983,0,0.3,Agent 2,Regular
0.95,0.17998046874999998,0.21966552734375,0.15,0.22049647314161705,0,0.3,Agent 2,Regular
0.05,0.006054687500000001,0.007421810026367699,0.8,0.22579572048395521,0,0.5,Agent 2,Regular
0.15,0.017724609375,0.025390560026367696,0.8,0.4325032213223428,0,0.5,Agent 2,Regular
0.25,0.03549804946807418,0.0433593100263677,0.8,0.22145612719830382,0,0.5,Agent 2,Regular
0.35,0.05566405276374034,0.06132806002636769,0.8,0.1017534114281541,0,0.5,Agent 2,Regular
0.45,0.074267578125,0.07932144560100643,0.9,0.06804944504182231,0,0.5,Agent 2,Regular
0.55,0.09392091218568577,0.10029299517000109,0.3,0.06784519907257115,0,0.5,Agent 2,Regular
0.65,0.11335450789272286,0.12216799517000107,0.3,0.07775153755348814,0,0.5,Agent 2,Regular
0.75,0.13278802296983078,0.14404299517000108,0.3,0.08475894096809779,0,0.5,Agent 2,Regular
0.85,0.1518067220377441,0.16591799517000108,0.3,0.09295552227752121,0,0.5,Agent 2,Regular
0.95,0.1709228058656833,0.18779299517000106,0.3,0.0987006340018481,0,0.5,Agent 2,Regular
0.05,0.007006835937500001,0.007006835937500001,0.05,0.0,0,0.7,Agent 2,Regular
0.15,0.02021484375,0.023608144414082186,0.95,0.16786182995266472,0,0.7,Agent 2,Regular
0.25,0.03513183559501851,0.04157689441408219,0.95,0.18345351758328146,0,0.7,Agent 2,Regular
0.35,0.05217285650401872,0.05954564441408218,0.95,0.141314629945469,0,0.7,Agent 2,Regular
0.45,0.0705078125,0.07751439441408219,0.95,0.0993731285321351,0,0.7,Agent 2,Regular
0.55,0.08864746245420377,0.09548314441408219,0.95,0.07711085879542022,0,0.7,Agent 2,Regular
0.65,0.10856935682887123,0.1134518944140822,0.95,0.04497159905724507,0,0.7,Agent 2,Regular
0.75,0.12687975115282793,0.1314206444140822,0.95,0.03578895150720076,0,0.7,Agent 2,Regular
0.85,0.14619148286800313,0.1493893944140822,0.95,0.0218748143417252,0,0.7,Agent 2,Regular
0.95,0.16735814441408217,0.1695556876203343,0.6,0.013130781378735296,0,0.7,Agent 2,Regular
0.05,0.00634765625,0.0076660156250000005,0.3,0.2076923076923078,1,0.3,Agent 2,Regular
0.15,0.0228759765625,0.026635697249035195,0.7,0.16435235786604221,1,0.3,Agent 2,Regular
0.25,0.04299316146942582,0.047143509749035195,0.7,0.09653507994662956,1,0.3,Agent 2,Regular
0.35,0.06071777529668526,0.0676513222490352,0.7,0.11419303356340946,1,0.3,Agent 2,Regular
0.45,0.084130859375,0.08820810490600399,0.9,0.048463138987209275,1,0.3,Agent 2,Regular
0.55,0.10605466015040631,0.11115723035425942,0.4,0.04811264490043785,1,0.3,Agent 2,Regular
0.65,0.1288329417624973,0.13713379285425942,0.4,0.06443112280292947,1,0.3,Agent 2,Regular
0.75,0.1505371437210014,0.1631103553542594,0.4,0.0835223209532965,1,0.3,Agent 2,Regular
0.85,0.17519541818000434,0.1890869178542594,0.4,0.07929145532780009,1,0.3,Agent 2,Regular
0.95,0.19777827588775743,0.2150634803542594,0.4,0.08739688112314027,1,0.3,Agent 2,Regular
0.05,0.005053710937500001,0.00913086774133369,0.6,0.806764940507381,1,0.5,Agent 2,Regular
0.15,0.020849609374999998,0.02866211774133369,0.6,0.37470766122368626,1,0.5,Agent 2,Regular
0.25,0.042211915554740805,0.048266529152126675,0.85,0.14343375603351122,1,0.5,Agent 2,Regular
0.35,0.06530761743212964,0.06809074790212667,0.85,0.0426157097660067,1,0.5,Agent 2,Regular
0.45,0.0755859375,0.09208986532633422,0.3,0.21834653868431822,1,0.5,Agent 2,Regular
0.55,0.10563969056272396,0.11748049032633422,0.3,0.11208665701817574,1,0.5,Agent 2,Regular
0.65,0.12631836064707413,0.14287111532633423,0.3,0.13103997387606614,1,0.5,Agent 2,Regular
0.75,0.14592285200283336,0.16826174032633423,0.3,0.15308697724100892,1,0.5,Agent 2,Regular
0.85,0.16721184165212666,0.19365236532633423,0.3,0.15812590431971535,1,0.5,Agent 2,Regular
0.95,0.18950167625317385,0.21904299032633423,0.3,0.1558894604905407,1,0.5,Agent 2,Regular
0.05,0.005664062500000001,0.008642578125,0.75,0.525862068965517,1,0.7,Agent 2,Regular
0.15,0.018701171875,0.025927734375,0.75,0.38642297650130564,1,0.7,Agent 2,Regular
0.25,0.034838870563389024,0.043212890625,0.75,0.24036428064952678,1,0.7,Agent 2,Regular
0.35,0.054882798360406826,0.060498046874999996,0.75,0.10231345125149603,1,0.7,Agent 2,Regular
0.45,0.07465820312499999,0.07871093177566643,0.3,0.054283768976879504,1,0.7,Agent 2,Regular
0.55,0.09567873540046397,0.10107421302566644,0.3,0.05639160679350184,1,0.7,Agent 2,Regular
0.65,0.11755371362842605,0.12343749427566642,0.3,0.05005184834771215,1,0.7,Agent 2,Regular
0.75,0.129638671875,0.14580077552566642,0.3,0.12467038898894474,1,0.7,Agent 2,Regular
0.85,0.15866704346187244,0.16816405677566643,0.3,0.05985498378606969,1,0.7,Agent 2,Regular
0.95,0.1817381304113642,0.1905273380256664,0.3,0.0483619348037082,1,0.7,Agent 2,Regular
0.05,0.004809570312500001,0.0083984375,0.7,0.7461928934010149,2,0.3,Agent 2,Regular
0.15,0.01864013671875,0.0251953125,0.7,0.3516699410609039,2,0.3,Agent 2,Regular
0.25,0.0359008812791575,0.0419921875,0.7,0.1696701029001996,2,0.3,Agent 2,Regular
0.35,0.05469970133137939,0.058789062499999996,0.7,0.07476021018554764,2,0.3,Agent 2,Regular
0.45,0.07310791015625001,0.0755859375,0.7,0.0338954750375688,2,0.3,Agent 2,Regular
0.55,0.09305420325513906,0.09449463127915751,0.25,0.015479451476995991,2,0.3,Agent 2,Regular
0.65,0.11146238588017526,0.11492919676022212,0.5,0.031102966733313607,2,0.3,Agent 2,Regular
0.75,0.12928484035925708,0.1361206030102221,0.5,0.05287365968020528,2,0.3,Agent 2,Regular
0.85,0.14937745696469507,0.1573120092602221,0.5,0.05311746803536989,2,0.3,Agent 2,Regular
0.95,0.17078857803497235,0.17850341551022209,0.5,0.04517185846977404,2,0.3,Agent 2,Regular
0.05,0.0029052734375000005,0.0029052734375000005,0.05,0.0,2,0.5,Agent 2,Regular
0.15,0.0119384765625,0.015014647703611085,0.35,0.25766865018386514,2,0.5,Agent 2,Regular
0.25,0.02619628617587025,0.027807616453611086,0.35,0.06150987460295241,2,0.5,Agent 2,Regular
0.35,0.04060058520361108,0.044091666536328004,0.75,0.08598598555191321,2,0.5,Agent 2,Regular
0.45,0.0559326171875,0.060888541536328014,0.75,0.08860526465647993,2,0.5,Agent 2,Regular
0.55,0.07395019330653696,0.07768541653632802,0.75,0.05050998601596455,2,0.5,Agent 2,Regular
0.65,0.09279782881194351,0.094482291536328,0.75,0.01815196266927849,2,0.5,Agent 2,Regular
0.75,0.11127916653632801,0.1126220475619435,0.65,0.012067676883409182,2,0.5,Agent 2,Regular
0.85,0.1306152862364836,0.13244626631194348,0.65,0.014018114787459226,2,0.5,Agent 2,Regular
0.95,0.14916970293147253,0.1522704850619435,0.65,0.020786943122729423,2,0.5,Agent 2,Regular
0.05,0.00458984375,0.0062011718750000005,0.2,0.3510638297872341,2,0.7,Agent 2,Regular
0.15,0.01739501953125,0.021032675091433556,0.65,0.20912052174753468,2,0.7,Agent 2,Regular
0.25,0.03363036583421274,0.04180908203125,0.15,0.2431943868037531,2,0.7,Agent 2,Regular
0.35,0.050329610563880474,0.06622314453125,0.15,0.3157889319885911,2,0.7,Agent 2,Regular
0.45,0.06844482421875,0.09063720703125,0.15,0.3242375601926163,2,0.7,Agent 2,Regular
0.55,0.08770748202952625,0.11505126953125,0.15,0.31176117326590924,2,0.7,Agent 2,Regular
0.65,0.10648189384143356,0.13946533203125,0.15,0.3097563069166801,2,0.7,Agent 2,Regular
0.75,0.12471935518975479,0.16387939453125,0.15,0.3139852614048157,2,0.7,Agent 2,Regular
0.85,0.14412820328177825,0.18829345703125,0.15,0.30643033593589136,2,0.7,Agent 2,Regular
0.95,0.16300056113195666,0.21270751953125,0.15,0.30494961522895137,2,0.7,Agent 2,Regular
0.05,0.0072265625,0.0074218750000000005,0.0,0.02702702702702705,3,0.3,Agent 2,Regular
0.15,0.023779296874999998,0.026464850795333623,0.3,0.11293664124934837,3,0.3,Agent 2,Regular
0.25,0.04716796967959263,0.047851609175335263,0.6,0.014493723185172691,3,0.3,Agent 2,Regular
0.35,0.06997071927055622,0.0727539113382965,0.2,0.0397765250486922,3,0.3,Agent 2,Regular
0.45,0.093505859375,0.09794922383829652,0.2,0.04751963666230427,3,0.3,Agent 2,Regular
0.55,0.11723632323240722,0.1231445363382965,0.2,0.05039575570940536,3,0.3,Agent 2,Regular
0.65,0.1415527356470741,0.1483398488382965,0.2,0.04794759465577803,3,0.3,Agent 2,Regular
