agent,prompt_idx,fixed_val,true_value,truthful_utility,optimal_utility,optimal_bid,relative_regret
Agent 1,3,0.3,0.8,0.1862890625,0.19640625000000003,1.0,0.05430907947158756
Agent 1,3,0.3,0.9,0.21076171875,0.2244140625,1.0,0.06477620239088137
Agent 1,3,0.5,0.1,0.00998046874999999,0.01685546875,0.15,0.6888454011741701
Agent 1,3,0.5,0.2,0.028417968749999994,0.0337109375,0.15,0.18625429553264639
Agent 1,3,0.5,0.3,0.05533203125,0.056054687500000006,0.4,0.013060360042358086
Agent 1,3,0.5,0.4,0.07988281250000001,0.07988281250000001,0.4,0.0
Agent 1,3,0.5,0.5,0.091796875,0.1037109375,0.4,0.1297872340425532
Agent 1,3,0.5,0.6,0.124609375,0.12753906250000002,0.4,0.02351097178683408
Agent 1,3,0.5,0.7,0.14791015624999998,0.15341796875,0.75,0.03723755446982712
Agent 1,3,0.5,0.8,0.16984375000000002,0.179296875,0.75,0.05565777368905231
Agent 1,3,0.5,0.9,0.19013671875,0.20517578125,0.75,0.07909604519774015
Agent 1,3,0.7,0.1,0.006445312500000001,0.01095703125,0.0,0.6999999999999997
Agent 1,3,0.7,0.2,0.02761718749999999,0.031015624999999984,0.35,0.12305516265912286
Agent 1,3,0.7,0.3,0.049121093750000004,0.051171874999999985,0.35,0.04174950298210696
Agent 1,3,0.7,0.4,0.069140625,0.07544921874999999,0.45,0.09124293785310726
Agent 1,3,0.7,0.5,0.09382812499999998,0.10001953124999999,0.45,0.06598667776852628
Agent 1,3,0.7,0.6,0.11074218749999999,0.12458984374999998,0.45,0.1250440917107583
Agent 1,3,0.7,0.7,0.13794921875,0.14916015624999998,0.45,0.0812685827552031
Agent 1,3,0.7,0.8,0.161953125,0.17373046875,0.45,0.0727206946454414
Agent 1,3,0.7,0.9,0.19607421874999997,0.19830078125,0.45,0.011355712720390626
Agent 2,2,0.3,0.1,0.006748046875,0.008007812500000001,0.3,0.18668596237337207
Agent 2,2,0.3,0.2,0.026796875,0.026796875,0.2,0.0
Agent 2,2,0.3,0.3,0.0451171875,0.045703125,0.2,0.012987012987012863
Agent 2,2,0.3,0.4,0.06300781250000001,0.064609375,0.2,0.025418474891506296
Agent 2,2,0.3,0.5,0.0782421875,0.083515625,0.2,0.0673989016475286
Agent 2,2,0.3,0.6,0.094453125,0.1037109375,0.45,0.09801488833746902
Agent 2,2,0.3,0.7,0.11798828125,0.12527343749999997,1.0,0.061744744247640954
Agent 2,2,0.3,0.8,0.13759765625,0.14695312500000002,1.0,0.0679914833215047
Agent 2,2,0.3,0.9,0.155859375,0.1686328125,1.0,0.0819548872180452
Agent 2,2,0.5,0.1,0.008945312500000005,0.00974609375,0.05,0.08951965065502122
Agent 2,2,0.5,0.2,0.023769531250000003,0.023769531250000003,0.2,0.0
Agent 2,2,0.5,0.3,0.035136718750000004,0.0415625,0.2,0.18287937743190655
Agent 2,2,0.5,0.4,0.05503906250000001,0.05935546875,0.2,0.0784244144783532
Agent 2,2,0.5,0.5,0.06923828125,0.0771484375,0.2,0.11424541607898439
Agent 2,2,0.5,0.6,0.0849609375,0.09494140625,0.2,0.11747126436781608
Agent 2,2,0.5,0.7,0.102578125,0.11273437499999998,0.2,0.09900990099009879
Agent 2,2,0.5,0.8,0.12404296875000002,0.13171875000000002,0.55,0.06188001889466224
Agent 2,2,0.5,0.9,0.14119140625,0.1512109375,0.55,0.07096417208465894
Agent 2,2,0.7,0.1,0.0028906249999999783,0.0073095703124999994,0.0,1.528716216216235
Agent 2,2,0.7,0.2,0.020175781250000004,0.020175781250000004,0.2,0.0
Agent 2,2,0.7,0.3,0.025722656249999986,0.03562499999999998,0.5,0.38496583143507984
Agent 2,2,0.7,0.4,0.044746093749999986,0.05378906249999999,0.5,0.20209515495416866
Agent 2,2,0.7,0.5,0.07195312499999998,0.07195312499999998,0.5,0.0
Agent 2,2,0.7,0.6,0.08626953124999999,0.09011718749999997,0.5,0.04460040751641368
Agent 2,2,0.7,0.7,0.10253906249999999,0.10828124999999997,0.5,0.05599999999999983
Agent 2,2,0.7,0.8,0.11851562500000001,0.1264453125,0.5,0.06690837178642037
Agent 2,2,0.7,0.9,0.12474609375000001,0.14460937499999998,0.5,0.1592296852982619
Agent 2,3,0.3,0.1,0.014999999999999998,0.016718749999999998,0.15,0.11458333333333334
Agent 2,3,0.3,0.2,0.033164062499999994,0.0371875,0.15,0.12131919905771511
Agent 2,3,0.3,0.3,0.054902343749999985,0.059882812499999986,0.35,0.09071504802561371
Agent 2,3,0.3,0.4,0.07859374999999999,0.0834765625,0.5,0.06212723658051708
Agent 2,3,0.3,0.5,0.10759765624999999,0.10759765624999999,0.5,0.0
Agent 2,3,0.3,0.6,0.13154296875,0.131953125,0.7,0.003118040089086978
Agent 2,3,0.3,0.7,0.15720703125000002,0.15720703125000002,0.7,0.0
Agent 2,3,0.3,0.8,0.1793359375,0.18246093750000003,0.7,0.017425397516881103
Agent 2,3,0.3,0.9,0.20396484375000004,0.20789062500000002,0.75,0.01924734271760979
Agent 2,3,0.5,0.1,0.014511718749999996,0.014511718749999996,0.1,0.0
Agent 2,3,0.5,0.2,0.024726562499999993,0.03283203124999999,0.25,0.32780410742496047
Agent 2,3,0.5,0.3,0.04910156249999997,0.053789062499999984,0.25,0.09546539379474968
Agent 2,3,0.5,0.4,0.06431640625,0.07474609374999999,0.25,0.16216216216216206
Agent 2,3,0.5,0.5,0.08515624999999999,0.09707031249999998,0.55,0.13990825688073383
Agent 2,3,0.5,0.6,0.11621093749999997,0.12130859374999997,0.55,0.04386554621848739
Agent 2,3,0.5,0.7,0.14300781249999997,0.14554687499999996,0.55,0.017754711827369537
Agent 2,3,0.5,0.8,0.16191406249999998,0.16978515624999999,0.55,0.0486127864897467
Agent 2,3,0.5,0.9,0.17677734375,0.19402343749999998,0.55,0.09755828085294424
Agent 2,3,0.7,0.1,0.01015624999999997,0.014746093750000001,0.05,0.4519230769230812
Agent 2,3,0.7,0.2,0.028242187499999974,0.032578125000000006,0.6,0.15352697095435813
Agent 2,3,0.7,0.3,0.04169921874999998,0.055019531249999996,0.6,0.31943793911007073
Agent 2,3,0.7,0.4,0.07308593749999998,0.07746093750000002,0.6,0.059861036878675146
Agent 2,3,0.7,0.5,0.08470703124999998,0.09990234375000001,0.6,0.1793866728153105
Agent 2,3,0.7,0.6,0.12234375,0.12234375,0.6,0.0
Agent 2,3,0.7,0.7,0.13056640625,0.14478515625,0.6,0.10890052356020945
Agent 2,3,0.7,0.8,0.15175781249999998,0.16722656250000004,0.6,0.10193050193050233
Agent 2,3,0.7,0.9,0.17769531249999998,0.18966796875000003,0.6,0.06737744559243816
