true_value,truthful_utility,optimal_utility,optimal_bid,relative_regret,prompt_idx,fixed_val,agent
0.4,0.08073729596400706,0.08269039239126513,0.6,0.024190758483276106,3,0.3,Agent 1
0.5,0.10650389048606601,0.10724117364126513,0.6,0.006922593642676199,3,0.3,Agent 1
0.6,0.13179195489126513,0.13237304687499998,0.45,0.004409161274026772,3,0.3,Agent 1
0.7,0.15668462622015783,0.15823242187499997,0.45,0.009878414316586065,3,0.3,Agent 1
0.8,0.18233400622531945,0.18409179687500002,0.45,0.009640498149908344,3,0.3,Agent 1
0.9,0.208466747733798,0.209951171875,0.45,0.007120675874396739,3,0.3,Agent 1
0.1,0.010371093632577773,0.010371093632577773,0.1,0.0,3,0.5,Agent 1
0.2,0.026127931864703795,0.026962568036786802,0.9,0.03194421113790934,3,0.5,Agent 1
0.3,0.047055652481732865,0.050497724286786796,0.9,0.07314895498240415,3,0.5,Agent 1
0.4,0.0702001922546295,0.0740328805367868,0.9,0.05459654965410075,3,0.5,Agent 1
0.5,0.09329100218994019,0.0975680367867868,0.9,0.04584616411493344,3,0.5,Agent 1
0.6,0.11753419399833392,0.1211031930367868,0.9,0.030365623118183468,3,0.5,Agent 1
0.7,0.14256841956367655,0.1446383492867868,0.9,0.014518851576282825,3,0.5,Agent 1
0.8,0.16749988946654365,0.1684277423303559,0.65,0.005539423737933747,3,0.5,Agent 1
0.9,0.1917086617867868,0.19399414858035588,0.65,0.0119216668264626,3,0.5,Agent 1
0.1,0.010205078672970394,0.01095703125,0.0,0.07368415287392739,3,0.7,Agent 1
0.2,0.022177739981911342,0.022177739981911342,0.2,0.0,3,0.7,Agent 1
0.3,0.04040529981346774,0.04061035302538525,0.4,0.0050749088081054276,3,0.7,Agent 1
0.4,0.06076660302538525,0.06190429473204437,0.5,0.01872231867533957,3,0.7,Agent 1
0.5,0.08348632598204436,0.08423339843750001,0.45,0.008948440917334436,3,0.7,Agent 1
0.6,0.1061767804896676,0.10880371093749999,0.45,0.02474110098005873,3,0.7,Agent 1
0.7,0.12986325502570262,0.1333740234375,0.45,0.027034347869245367,3,0.7,Agent 1
0.8,0.15432139009943377,0.1579443359375,0.45,0.023476627807278525,3,0.7,Agent 1
0.9,0.17907240591520573,0.1825146484375,0.45,0.01922262955423877,3,0.7,Agent 1
0.1,0.009486085700451922,0.010313727957616963,0.6,0.08724802656227443,2,0.3,Agent 2
0.2,0.026553954876305547,0.028907477957616966,0.6,0.08863173460505876,2,0.3,Agent 2
0.3,0.044415305230800894,0.04750122795761696,0.6,0.06947881390841043,2,0.3,Agent 2
0.4,0.06356566537250151,0.06609497795761697,0.6,0.039790546835204554,2,0.3,Agent 2
0.5,0.08358518880658451,0.08468872795761696,0.6,0.01320256814381352,2,0.3,Agent 2
0.6,0.10328247795761696,0.10400512695312499,0.45,0.006996820852851498,2,0.3,Agent 2
0.7,0.12221317580591648,0.12423950195312498,0.45,0.016580259320209952,2,0.3,Agent 2
0.8,0.1422766714372969,0.14447387695312497,0.45,0.01544318891938949,2,0.3,Agent 2
0.9,0.16253559031740777,0.16477658548789614,0.55,0.013787719761019968,2,0.3,Agent 2
0.1,0.00904296875,0.009281005859375,0.05,0.026322894168466563,2,0.5,Agent 2
0.2,0.023372805044901947,0.02462280704719555,0.35,0.05348104345593949,2,0.5,Agent 2
0.3,0.04037962853319958,0.041819983044788164,0.75,0.03567032595171949,2,0.5,Agent 2
0.4,0.05731322845031281,0.05984732679478817,0.75,0.044214894414337125,2,0.5,Agent 2
0.5,0.07557494246183669,0.07787467054478817,0.75,0.03042976955110195,2,0.5,Agent 2
0.6,0.09472538755851853,0.09590201429478816,0.75,0.012421450749333103,2,0.5,Agent 2
0.7,0.11349979690700537,0.11472042139091512,1.0,0.010754419982882017,2,0.5,Agent 2
0.8,0.13244009879264274,0.13389525834628777,0.55,0.010987303444429827,2,0.5,Agent 2
0.9,0.151820214495006,0.15338744584628775,0.55,0.010322942544211126,2,0.5,Agent 2
0.1,0.007869873148396302,0.007869873148396302,0.1,0.0,2,0.7,Agent 2
0.2,0.019749758639590855,0.02107787653676927,0.55,0.06724729762094596,2,0.7,Agent 2
0.3,0.03587280413243339,0.037884516648047026,0.65,0.056079042725149006,2,0.7,Agent 2
0.4,0.05328978975652017,0.055926476014811405,1.0,0.04947826347857993,2,0.7,Agent 2
0.5,0.07106322502794414,0.0741296010148114,1.0,0.04314996942035034,2,0.7,Agent 2
0.6,0.08870972953351719,0.0923327260148114,1.0,0.040841027250853465,2,0.7,Agent 2
0.7,0.1069518894613105,0.11053585101481139,1.0,0.03351003494704393,2,0.7,Agent 2
0.8,0.1264734443801597,0.1287389760148114,1.0,0.017913101408402132,2,0.7,Agent 2
0.9,0.1463074906489048,0.14694210101481142,1.0,0.004337511108228201,2,0.7,Agent 2
0.1,0.015302735382874116,0.015302735382874116,0.1,0.0,3,0.3,Agent 2
0.2,0.03573242321557042,0.036889649978666735,0.3,0.03238590218510707,3,0.3,Agent 2
0.3,0.05878418122866672,0.05927246146590002,0.25,0.008306320289363513,3,0.3,Agent 2
0.4,0.08187987768017016,0.08312011771590003,0.25,0.015147067519743389,3,0.3,Agent 2
0.5,0.10627440420392552,0.10696777396590001,0.25,0.006524334501504411,3,0.3,Agent 2
0.6,0.13035157377253379,0.131201171875,0.45,0.006517743345000004,3,0.3,Agent 2
0.7,0.15548339148512563,0.15598623697599623,0.9,0.0032340784830301363,3,0.3,Agent 2
0.8,0.18127935461738015,0.18172842447599624,0.9,0.0024772256033453286,3,0.3,Agent 2
0.9,0.20747061197599626,0.20763676718666865,0.85,0.0008008614284688235,3,0.3,Agent 2
0.1,0.014506836402296316,0.014506836402296316,0.1,0.0,3,0.5,Agent 2
0.2,0.03243652543857045,0.03265625352266681,0.3,0.006774094362002083,3,0.5,Agent 2
0.3,0.0531250035226668,0.053247071320374116,0.25,0.002297746628011626,3,0.5,Agent 2
0.4,0.0749609352689777,0.07567863920719706,0.9,0.009574372780223068,3,0.5,Agent 2
0.5,0.0976611280617924,0.09948723295719705,0.9,0.018698380119562312,3,0.5,Agent 2
0.6,0.12134278440180044,0.12329582670719705,0.9,0.016095248803006983,3,0.5,Agent 2
0.7,0.14560059106004464,0.14710442045719704,0.9,0.010328456678669924,3,0.5,Agent 2
0.8,0.17043949417385354,0.17091301420719707,0.9,0.0027782295156339905,3,0.5,Agent 2
0.9,0.19472160795719706,0.19603027856004465,0.7,0.006720726151435931,3,0.5,Agent 2
0.1,0.0148144531934963,0.0148144531934963,0.1,0.0,3,0.7,Agent 2
0.2,0.030874025203726,0.031835937499999994,0.45,0.03115603779962926,3,0.7,Agent 2
0.3,0.05080078336360008,0.05195312499999999,0.45,0.02268354068779154,3,0.7,Agent 2
0.4,0.07196777189633329,0.07218749782768882,0.35,0.0030531156594933184,3,0.7,Agent 2
0.5,0.09275390617171853,0.09359374782768881,0.35,0.009054515228883816,3,0.7,Agent 2
0.6,0.1155126824107328,0.11567873082099711,0.55,0.0014374907308782425,3,0.7,Agent 2
0.7,0.13856444565890336,0.1393945134605326,1.0,0.005990481885032659,3,0.7,Agent 2
0.8,0.16256832893328765,0.16349607596053264,1.0,0.005706812841914033,3,0.7,Agent 2
0.9,0.18686521297479913,0.18759763846053262,1.0,0.003919538977178517,3,0.7,Agent 2
